Incident_ID,Incident_Type,Description,Date,Location,Status,Resolution_ID,Resolution
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,101,Change access credentials and implement two-factor authentication.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,104,Restrict network access for the affected user account.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,108,Enhance network access controls and monitoring.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,111,Implement intrusion detection and prevention.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,114,Conduct user access review and auditing.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,117,Implement security information and event management (SIEM) system.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,120,Enhance network segmentation.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,123,Conduct employee cybersecurity training.
1,Unauthorized Access,Unauthorized login attempt detected,2023-08-01,Main Office,Open,125,Enhance authentication and authorization mechanisms.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,101,Change access credentials and implement two-factor authentication.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,104,Restrict network access for the affected user account.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,108,Enhance network access controls and monitoring.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,111,Implement intrusion detection and prevention.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,114,Conduct user access review and auditing.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,117,Implement security information and event management (SIEM) system.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,120,Enhance network segmentation.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,123,Conduct employee cybersecurity training.
2,Unauthorized Access,Intrusion detected on server,2023-08-02,Data Center,Open,125,Enhance authentication and authorization mechanisms.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,101,Change access credentials and implement two-factor authentication.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,104,Restrict network access for the affected user account.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,108,Enhance network access controls and monitoring.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,111,Implement intrusion detection and prevention.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,114,Conduct user access review and auditing.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,117,Implement security information and event management (SIEM) system.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,120,Enhance network segmentation.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,123,Conduct employee cybersecurity training.
5,Unauthorized Access,Unauthorized access to database,2023-08-05,Main Office,Open,125,Enhance authentication and authorization mechanisms.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,101,Change access credentials and implement two-factor authentication.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,104,Restrict network access for the affected user account.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,108,Enhance network access controls and monitoring.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,111,Implement intrusion detection and prevention.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,114,Conduct user access review and auditing.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,117,Implement security information and event management (SIEM) system.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,120,Enhance network segmentation.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,123,Conduct employee cybersecurity training.
8,Unauthorized Access,Unauthorized user login,2023-08-08,Data Center,Open,125,Enhance authentication and authorization mechanisms.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,101,Change access credentials and implement two-factor authentication.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,104,Restrict network access for the affected user account.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,108,Enhance network access controls and monitoring.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,111,Implement intrusion detection and prevention.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,114,Conduct user access review and auditing.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,117,Implement security information and event management (SIEM) system.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,120,Enhance network segmentation.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,123,Conduct employee cybersecurity training.
10,Unauthorized Access,Attempted intrusion on firewall,2023-08-10,Remote Office,Open,125,Enhance authentication and authorization mechanisms.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,101,Change access credentials and implement two-factor authentication.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,104,Restrict network access for the affected user account.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,108,Enhance network access controls and monitoring.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,111,Implement intrusion detection and prevention.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,114,Conduct user access review and auditing.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,117,Implement security information and event management (SIEM) system.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,120,Enhance network segmentation.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,123,Conduct employee cybersecurity training.
12,Unauthorized Access,Unauthorized access to server,2023-08-12,Branch Office A,Open,125,Enhance authentication and authorization mechanisms.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,101,Change access credentials and implement two-factor authentication.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,104,Restrict network access for the affected user account.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,108,Enhance network access controls and monitoring.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,111,Implement intrusion detection and prevention.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,114,Conduct user access review and auditing.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,117,Implement security information and event management (SIEM) system.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,120,Enhance network segmentation.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,123,Conduct employee cybersecurity training.
13,Unauthorized Access,Intrusion detected on network,2023-08-13,Main Office,Open,125,Enhance authentication and authorization mechanisms.
16,Unauthorized Access,Unauthorized login attempt detected,2023-08-16,Remote Office,Open,101,Change access credentials and implement two-factor authentication.
16,Unauthorized Access,Unauthorized login attempt detected,2023-08-16,Remote Office,Open,104,Restrict network access for the affected user account.
